R,G,B,label
78.42333984375,91.85400390625,137.5145263671875,0
78.42333984375,91.85400390625,137.5145263671875,0
78.42333984375,91.85400390625,137.5145263671875,0
78.42681884765625,91.85784912109375,137.51995849609375,0
78.42681884765625,91.85784912109375,137.51995849609375,0
78.42333984375,91.85400390625,137.5145263671875,0
78.42333984375,91.85400390625,137.5145263671875,0
78.42681884765625,91.85784912109375,137.51995849609375,0
78.42681884765625,91.85784912109375,137.51995849609375,0
78.42333984375,91.85400390625,137.5145263671875,0
78.5543212890625,89.20367431640625,124.718017578125,1
78.5543212890625,89.20367431640625,124.718017578125,1
78.5543212890625,89.20367431640625,124.718017578125,1
70.7587890625,76.70062255859375,98.17901611328125,1
70.76348876953125,76.698486328125,98.17510986328125,1
70.76348876953125,76.698486328125,98.17510986328125,1
70.7587890625,76.70062255859375,98.17901611328125,1
70.7587890625,76.70062255859375,98.17901611328125,1
70.76348876953125,76.698486328125,98.17510986328125,1
70.76348876953125,76.698486328125,98.17510986328125,1
